epoch,Alessandro-cleaned-data_val_dice,Alessandro-cleaned-data_val_loss,Alessandro-cleaned-data_val_precision,Alessandro-cleaned-data_val_recall,Alessandro-cleaned-data_val_sparse_categorical_accuracy,Antoine-cleaned-data_val_dice,Antoine-cleaned-data_val_loss,Antoine-cleaned-data_val_precision,Antoine-cleaned-data_val_recall,Antoine-cleaned-data_val_sparse_categorical_accuracy,Kornum-cleaned-data_v2_val_dice,Kornum-cleaned-data_v2_val_loss,Kornum-cleaned-data_v2_val_precision,Kornum-cleaned-data_v2_val_recall,Kornum-cleaned-data_v2_val_sparse_categorical_accuracy,Maiken-cleaned-data_val_dice,Maiken-cleaned-data_val_loss,Maiken-cleaned-data_val_precision,Maiken-cleaned-data_val_recall,Maiken-cleaned-data_val_sparse_categorical_accuracy,Sebastian-cleaned-data_val_dice,Sebastian-cleaned-data_val_loss,Sebastian-cleaned-data_val_precision,Sebastian-cleaned-data_val_recall,Sebastian-cleaned-data_val_sparse_categorical_accuracy,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,0.173,1.0781,0.3389,0.3333,0.3501,0.2222,1.0485,0.1905,0.333,0.4997,0.1884,1.0719,0.1314,0.3328,0.4083,0.2633,1.0406,0.265,0.3331,0.5574,0.2032,1.067,0.2652,0.3328,0.4354,1.2124,1.119029521942139,0.3558597862720489,0.0202,0.21,1.0612,0.2382,0.333,0.4502
1,0.177,1.0627,0.4642,0.3353,0.3503,0.2266,1.0417,0.3237,0.3354,0.5005,0.1897,1.0641,0.3478,0.3338,0.4086,0.2664,1.0345,0.4345,0.3348,0.5589,0.206,1.0523,0.2621,0.335,0.4363,0.7956,1.0932536125183103,0.3788104951381683,0.0336,0.2131,1.0511,0.3665,0.3349,0.4509
2,0.1959,1.0494,0.471,0.3477,0.3516,0.2461,1.0366,0.2697,0.3459,0.5018,0.2032,1.0581,0.3996,0.3412,0.4096,0.2937,1.0292,0.576,0.3496,0.5621,0.2283,1.0442,0.5052,0.3474,0.4386,0.8067,1.0830432176589966,0.3866968154907226,0.0472,0.2334,1.0435,0.4443,0.3464,0.4527
3,0.2359,1.0347,0.4867,0.3889,0.3576,0.3149,1.0225,0.5418,0.3966,0.507,0.2237,1.0449,0.405,0.3626,0.4106,0.347,1.0147,0.568,0.3875,0.5688,0.2951,1.0289,0.5375,0.4068,0.4485,0.7921,1.0708541870117188,0.4047417640686035,0.0605,0.2833,1.0291,0.5078,0.3885,0.4585
4,0.3128,1.0227,0.4685,0.4981,0.3987,0.3623,1.0116,0.4726,0.4524,0.5141,0.2899,1.0342,0.4472,0.439,0.4336,0.4408,0.9982,0.5097,0.4742,0.5861,0.3609,1.012,0.4993,0.503,0.481,0.7368,1.0555847883224487,0.4480018019676208,0.0729,0.3533,1.0157,0.4795,0.4733,0.4827
5,0.3721,0.9966,0.4757,0.5666,0.4477,0.4404,0.9749,0.5035,0.5255,0.5504,0.3862,0.9998,0.4754,0.5067,0.5,0.5245,0.9567,0.5648,0.5493,0.6387,0.4056,0.9795,0.4902,0.517,0.5179,0.7346,1.031377911567688,0.5077466368675232,0.0853,0.4258,0.9815,0.5019,0.533,0.5309
6,0.3679,0.9578,0.4773,0.6111,0.4364,0.4353,0.9088,0.5014,0.5265,0.5644,0.3963,0.9537,0.4838,0.5338,0.4868,0.5511,0.8513,0.6036,0.5985,0.649,0.4336,0.914,0.5287,0.6117,0.5333,0.7219,0.980558454990387,0.5535303950309753,0.0975,0.4368,0.9171,0.519,0.5763,0.534
7,0.3699,0.9505,0.479,0.6173,0.4343,0.4664,0.8787,0.5609,0.5346,0.5549,0.4004,0.9136,0.4922,0.5446,0.4978,0.5574,0.789,0.6074,0.6077,0.6451,0.3843,0.9063,0.4659,0.5336,0.4917,0.7403,0.9311670064926147,0.5644710659980774,0.1101,0.4357,0.8876,0.5211,0.5676,0.5248
8,0.3827,0.9426,0.4841,0.6228,0.4464,0.4856,0.8371,0.582,0.5738,0.5781,0.4054,0.8962,0.4832,0.5385,0.5083,0.5764,0.7501,0.6237,0.6224,0.6622,0.3874,0.8713,0.4827,0.5278,0.5051,0.7343,0.900009036064148,0.5718287229537964,0.1225,0.4475,0.8595,0.5311,0.5771,0.54
9,0.399,0.9302,0.4889,0.6383,0.4642,0.4862,0.8383,0.5991,0.5392,0.5747,0.4338,0.8561,0.5058,0.5604,0.5324,0.5886,0.727,0.6239,0.6372,0.6753,0.3911,0.8562,0.4815,0.5356,0.5051,0.741,0.883478581905365,0.5769200325012207,0.135,0.4597,0.8416,0.5398,0.5821,0.5503
10,0.4208,0.9144,0.4966,0.6485,0.4877,0.5363,0.8051,0.5908,0.6266,0.6007,0.4464,0.8475,0.5159,0.5557,0.5461,0.6057,0.7064,0.6335,0.6503,0.685,0.4057,0.8551,0.4777,0.5472,0.5062,0.7811,0.8671837449073792,0.584754467010498,0.1482,0.483,0.8257,0.5429,0.6057,0.5651
11,0.4383,0.9024,0.504,0.6588,0.507,0.5012,0.7873,0.5633,0.5573,0.6187,0.4636,0.8127,0.5163,0.5677,0.5659,0.6189,0.6868,0.6412,0.6621,0.6972,0.404,0.8229,0.4906,0.5389,0.5156,0.75,0.8546377420425415,0.5931555032730103,0.161,0.4852,0.8024,0.5431,0.597,0.5809
