epoch,Alessandro-cleaned-data_val_dice,Alessandro-cleaned-data_val_loss,Alessandro-cleaned-data_val_precision,Alessandro-cleaned-data_val_recall,Alessandro-cleaned-data_val_sparse_categorical_accuracy,Antoine-cleaned-data_val_dice,Antoine-cleaned-data_val_loss,Antoine-cleaned-data_val_precision,Antoine-cleaned-data_val_recall,Antoine-cleaned-data_val_sparse_categorical_accuracy,Kornum-cleaned-data_v2_val_dice,Kornum-cleaned-data_v2_val_loss,Kornum-cleaned-data_v2_val_precision,Kornum-cleaned-data_v2_val_recall,Kornum-cleaned-data_v2_val_sparse_categorical_accuracy,Maiken-cleaned-data_val_dice,Maiken-cleaned-data_val_loss,Maiken-cleaned-data_val_precision,Maiken-cleaned-data_val_recall,Maiken-cleaned-data_val_sparse_categorical_accuracy,Sebastian-cleaned-data_val_dice,Sebastian-cleaned-data_val_loss,Sebastian-cleaned-data_val_precision,Sebastian-cleaned-data_val_recall,Sebastian-cleaned-data_val_sparse_categorical_accuracy,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,0.1513,1.1304,0.4194,0.3055,0.2174,0.1819,1.1738,0.4084,0.2961,0.1786,0.205,1.0987,0.4046,0.3246,0.3333,0.2215,1.1545,0.4072,0.3089,0.2559,0.1912,1.1248,0.4799,0.3029,0.2832,1.3784,1.1528527736663818,0.2932580411434173,0.023,0.1902,1.1364,0.4239,0.3076,0.2537
1,0.2012,1.0858,0.4605,0.3487,0.3032,0.3149,1.0966,0.4366,0.3632,0.3573,0.2342,1.0669,0.4293,0.344,0.381,0.2898,1.0903,0.4283,0.3309,0.3672,0.2211,1.0878,0.486,0.3227,0.3545,0.9539,1.1029571294784546,0.3542318344116211,0.039,0.2522,1.0855,0.4481,0.3419,0.3526
2,0.2666,1.0526,0.4848,0.3813,0.3752,0.3793,1.0652,0.4047,0.4077,0.4506,0.2659,1.0488,0.4411,0.3578,0.4085,0.3533,1.0677,0.4203,0.3687,0.4299,0.2542,1.068,0.4955,0.3448,0.3957,2.1359,1.0844544172286987,0.3939207792282104,0.0748,0.3039,1.0605,0.4493,0.3721,0.412
3,0.3607,1.0086,0.5327,0.4322,0.4929,0.4092,1.0309,0.4132,0.4231,0.5264,0.3394,1.0208,0.5037,0.4033,0.4681,0.4014,1.0425,0.4222,0.4007,0.5013,0.3073,1.0456,0.5103,0.3794,0.4558,2.2218,1.0654503107070925,0.4388206899166107,0.1119,0.3636,1.0297,0.4764,0.4077,0.4889
4,0.4913,0.9561,0.6011,0.5263,0.6832,0.4016,1.0,0.4418,0.4275,0.5414,0.4183,0.9997,0.5337,0.454,0.5322,0.4416,1.022,0.4496,0.4368,0.5622,0.3796,1.0281,0.5305,0.4229,0.5247,1.6573,1.0432149171829224,0.4872398376464844,0.1396,0.4265,1.0012,0.5113,0.4535,0.5687
5,0.5807,0.8981,0.686,0.6033,0.8414,0.4083,0.9632,0.4632,0.4342,0.5593,0.4588,0.9749,0.55,0.4849,0.5884,0.4679,0.9946,0.4873,0.4645,0.625,0.4388,1.0068,0.5591,0.4634,0.5936,1.4034,1.0162925720214844,0.5356350541114807,0.1632,0.4709,0.9675,0.5491,0.4901,0.6415
6,0.6085,0.8414,0.7476,0.6288,0.8963,0.4337,0.9292,0.4725,0.4542,0.5891,0.4871,0.9508,0.5964,0.5062,0.6244,0.4825,0.9637,0.5184,0.4832,0.6861,0.4647,0.9823,0.591,0.4839,0.6354,1.3462,0.9857217669487,0.5641080141067505,0.1857,0.4953,0.9335,0.5852,0.5113,0.6863
7,0.6128,0.7836,0.7092,0.6342,0.9101,0.4755,0.8918,0.5099,0.4819,0.6398,0.4964,0.9255,0.5972,0.5159,0.6416,0.482,0.9282,0.5416,0.489,0.7194,0.4572,0.9627,0.604,0.4831,0.652,1.3287,0.9566373825073242,0.5763614177703857,0.208,0.5048,0.8984,0.5924,0.5208,0.7126
8,0.6166,0.7278,0.7131,0.6376,0.9162,0.5029,0.8553,0.5325,0.5075,0.6926,0.5056,0.9001,0.6634,0.5246,0.6542,0.4834,0.8944,0.5675,0.4942,0.7401,0.4611,0.941,0.6603,0.4885,0.6638,1.1923,0.924446940422058,0.585891604423523,0.2281,0.5139,0.8637,0.6274,0.5305,0.7334
9,0.6181,0.6764,0.6037,0.6391,0.9189,0.516,0.8342,0.5716,0.5179,0.7098,0.5104,0.8784,0.6793,0.5284,0.6655,0.4871,0.8641,0.5852,0.4982,0.75,0.4682,0.9285,0.6995,0.4926,0.6681,1.1142,0.8957298398017883,0.5919584631919861,0.2468,0.52,0.8363,0.6279,0.5352,0.7425
10,0.6191,0.6332,0.6047,0.6401,0.9203,0.5482,0.8175,0.6669,0.5388,0.7235,0.5135,0.8642,0.6692,0.5314,0.6706,0.4886,0.8387,0.6014,0.499,0.7563,0.4735,0.9196,0.7108,0.4965,0.6726,1.0833,0.8728139400482178,0.5931714177131653,0.265,0.5286,0.8146,0.6506,0.5412,0.7487
11,0.6208,0.5964,0.7714,0.6409,0.9204,0.5638,0.8011,0.6916,0.5507,0.7359,0.5157,0.854,0.6597,0.5332,0.6724,0.4894,0.817,0.6065,0.4995,0.7605,0.4798,0.9229,0.7018,0.4996,0.6732,1.1174,0.8527535200119019,0.5984123349189758,0.2837,0.5339,0.7983,0.6862,0.5448,0.7525
12,0.6273,0.5607,0.8184,0.6444,0.9227,0.5655,0.7857,0.734,0.5525,0.7417,0.5182,0.8437,0.6247,0.5352,0.6758,0.4906,0.7969,0.6094,0.5002,0.7617,0.4977,0.919,0.7065,0.5096,0.6762,1.0412,0.8369408249855042,0.6025280952453613,0.3012,0.5399,0.7812,0.6986,0.5484,0.7556
13,0.6413,0.5345,0.8331,0.6515,0.9227,0.569,0.7736,0.7338,0.5561,0.7485,0.5253,0.8259,0.6418,0.542,0.6896,0.4949,0.7783,0.6206,0.5017,0.7639,0.534,0.9035,0.7477,0.5335,0.6863,1.1373,0.825017511844635,0.6092393398284912,0.3203,0.5529,0.7632,0.7154,0.557,0.7622
14,0.714,0.5108,0.8499,0.6962,0.9262,0.6293,0.7714,0.7491,0.5981,0.751,0.5414,0.8241,0.7134,0.5492,0.6868,0.5253,0.763,0.6608,0.5178,0.769,0.5817,0.9032,0.7031,0.5727,0.6926,1.0282,0.8138918280601501,0.618536114692688,0.3376,0.5983,0.7545,0.7353,0.5868,0.7651
15,0.7961,0.4892,0.857,0.7704,0.9301,0.6618,0.7583,0.7384,0.63,0.7559,0.5752,0.8151,0.7069,0.5694,0.6915,0.5674,0.7461,0.6825,0.5448,0.7717,0.6197,0.8995,0.6891,0.6196,0.6993,1.0173,0.8010686039924622,0.6415327191352844,0.3547,0.644,0.7416,0.7348,0.6268,0.7697
16,0.844,0.4705,0.8562,0.838,0.9293,0.675,0.735,0.7563,0.6407,0.7577,0.6251,0.7957,0.6995,0.6083,0.7083,0.6016,0.7249,0.7021,0.5697,0.7752,0.6256,0.8863,0.674,0.6413,0.7013,0.9916,0.7873547673225403,0.6717732548713684,0.3714,0.6743,0.7225,0.7376,0.6596,0.7744
17,0.8622,0.4556,0.8459,0.8837,0.9256,0.6791,0.7332,0.7149,0.6602,0.7558,0.6653,0.7819,0.7066,0.6494,0.7144,0.6426,0.705,0.704,0.6103,0.7823,0.6341,0.8813,0.6539,0.6908,0.7057,1.009,0.768552303314209,0.7043180465698242,0.3883,0.6967,0.7114,0.7251,0.6989,0.7768
18,0.8618,0.4397,0.8367,0.896,0.9203,0.6562,0.7183,0.6754,0.6503,0.7508,0.6794,0.7749,0.7004,0.6701,0.7108,0.6633,0.6827,0.713,0.6326,0.7888,0.6239,0.8562,0.6437,0.6888,0.7037,0.9869,0.7561621069908142,0.7224567532539368,0.4049,0.6969,0.6944,0.7138,0.7076,0.7749
19,0.8573,0.4294,0.825,0.9046,0.9142,0.6631,0.7082,0.6763,0.6651,0.752,0.6946,0.7537,0.6891,0.7059,0.7217,0.6721,0.6637,0.7125,0.6452,0.7902,0.6193,0.8653,0.6406,0.7065,0.6979,0.9538,0.7403788566589355,0.7342852354049683,0.421,0.7013,0.6841,0.7087,0.7255,0.7752
20,0.8545,0.4185,0.8204,0.9062,0.9091,0.6811,0.6668,0.7203,0.6646,0.7561,0.6951,0.7393,0.6882,0.7102,0.719,0.6779,0.6452,0.7177,0.6514,0.7926,0.6239,0.8551,0.6413,0.7265,0.7,0.9555,0.7283438444137573,0.7401545643806458,0.4371,0.7065,0.665,0.7176,0.7318,0.7754
21,0.8509,0.4134,0.814,0.9095,0.9044,0.6834,0.6744,0.6949,0.6915,0.7514,0.6957,0.7265,0.6824,0.7212,0.7221,0.6848,0.6312,0.7245,0.6593,0.795,0.612,0.8336,0.6366,0.7138,0.6955,0.9494,0.717414140701294,0.7434942126274109,0.4531,0.7054,0.6558,0.7105,0.7391,0.7737
22,0.8493,0.4033,0.8125,0.908,0.9018,0.6394,0.6879,0.6418,0.667,0.7327,0.6923,0.7253,0.6809,0.7144,0.7156,0.687,0.619,0.7317,0.659,0.7956,0.6142,0.7908,0.6393,0.7079,0.7044,0.9372,0.7062936425209045,0.7469496130943298,0.4688,0.6964,0.6453,0.7012,0.7313,0.77
23,0.8467,0.3962,0.8079,0.9104,0.8994,0.6365,0.6704,0.6404,0.6643,0.7342,0.6945,0.6998,0.6758,0.7321,0.7272,0.6909,0.6103,0.7325,0.665,0.7979,0.6184,0.8143,0.6402,0.7362,0.6988,0.9441,0.7008988261222839,0.748601496219635,0.4847,0.6974,0.6382,0.6994,0.7416,0.7715
24,0.8468,0.3872,0.8078,0.9114,0.899,0.6677,0.6598,0.6709,0.6898,0.7501,0.6978,0.6876,0.678,0.7375,0.7337,0.6916,0.6034,0.7324,0.6664,0.7983,0.6186,0.8044,0.6401,0.7384,0.6992,0.9224,0.6949242353439331,0.7484478950500488,0.5002,0.7045,0.6285,0.7058,0.7487,0.7761
25,0.8447,0.3841,0.8053,0.9108,0.8965,0.6189,0.7227,0.6184,0.6904,0.707,0.7023,0.6812,0.683,0.7414,0.7316,0.6928,0.5988,0.7333,0.6688,0.798,0.6118,0.766,0.6399,0.7123,0.7028,0.9357,0.6854262351989746,0.75279700756073,0.5159,0.6941,0.6306,0.696,0.7447,0.7672
26,0.8451,0.3781,0.8061,0.9102,0.896,0.66,0.6701,0.6589,0.7006,0.7436,0.6997,0.6897,0.6856,0.728,0.7216,0.6946,0.5946,0.7383,0.669,0.8003,0.6114,0.7601,0.6403,0.7108,0.703,0.9147,0.6822292804718018,0.7547940611839294,0.5313,0.7022,0.6185,0.7058,0.7437,0.7729
27,0.8445,0.3745,0.8052,0.9108,0.8952,0.6703,0.6401,0.68,0.6859,0.7516,0.6949,0.6862,0.6766,0.7333,0.7198,0.697,0.5903,0.7391,0.6728,0.8006,0.6235,0.761,0.6481,0.7346,0.7101,0.9343,0.6778374910354614,0.7550054788589478,0.547,0.706,0.6104,0.7098,0.7475,0.7755
28,0.8454,0.3689,0.8065,0.9107,0.8954,0.6815,0.6392,0.6925,0.6955,0.7532,0.6966,0.6604,0.6783,0.7361,0.7362,0.6982,0.5863,0.7412,0.6733,0.8012,0.6125,0.75,0.6414,0.7124,0.7039,1.0635,0.6750905513763428,0.7553247213363647,0.5649,0.7068,0.601,0.712,0.7456,0.778
29,0.846,0.3628,0.8068,0.9116,0.8963,0.658,0.638,0.6629,0.6811,0.7525,0.701,0.6573,0.6824,0.7398,0.7381,0.6972,0.5838,0.738,0.6738,0.8007,0.6175,0.7812,0.6417,0.74,0.6994,1.8202,0.6717343330383301,0.7574554085731506,0.5954,0.7039,0.6046,0.7064,0.7493,0.7774
30,0.8471,0.358,0.8092,0.9099,0.8964,0.6581,0.6376,0.6663,0.6755,0.7515,0.701,0.6636,0.6845,0.7337,0.7327,0.6989,0.5801,0.7433,0.6732,0.8045,0.6252,0.7455,0.6485,0.7341,0.7121,2.2756,0.6704180836677551,0.7574912905693054,0.6335,0.7061,0.597,0.7104,0.7453,0.7794
31,0.845,0.3578,0.8046,0.9136,0.8964,0.6462,0.6764,0.6424,0.6938,0.7346,0.6974,0.6745,0.6776,0.7399,0.7196,0.7003,0.5796,0.7396,0.6786,0.803,0.6047,0.778,0.6375,0.7198,0.6915,0.911,0.6697478890419006,0.7567152380943298,0.6489,0.6987,0.6133,0.7003,0.7491,0.769
32,0.8476,0.3461,0.8077,0.9139,0.8997,0.6566,0.6637,0.6522,0.6954,0.7397,0.7069,0.6588,0.6884,0.7428,0.7311,0.7009,0.5741,0.7392,0.6786,0.8037,0.618,0.7734,0.643,0.7413,0.7004,0.9102,0.6645822525024414,0.7588399648666382,0.6642,0.706,0.6032,0.7061,0.7544,0.7749
33,0.8469,0.3456,0.8067,0.9143,0.8992,0.6745,0.6427,0.6781,0.696,0.752,0.7059,0.6571,0.686,0.7458,0.733,0.7047,0.573,0.7428,0.6832,0.8058,0.6117,0.7433,0.642,0.7158,0.7026,0.8978,0.6608476042747498,0.7605955600738525,0.6794,0.7087,0.5923,0.7111,0.751,0.7785
34,0.8476,0.3437,0.8081,0.9135,0.8988,0.6489,0.6701,0.6423,0.7025,0.7365,0.7004,0.6616,0.681,0.7414,0.7236,0.7067,0.5702,0.746,0.6846,0.8064,0.6115,0.7422,0.6431,0.715,0.7031,0.8955,0.6595908403396606,0.7604419589042664,0.6945,0.703,0.5976,0.7041,0.7514,0.7737
35,0.8484,0.339,0.8086,0.9146,0.9001,0.6598,0.6603,0.6554,0.696,0.7414,0.7036,0.6562,0.6835,0.7454,0.727,0.7075,0.5672,0.7445,0.6866,0.8055,0.6174,0.7706,0.6461,0.7423,0.7006,0.9021,0.6663759350776672,0.7563800811767578,0.7097,0.7073,0.5987,0.7076,0.757,0.7749
36,0.8493,0.3349,0.8096,0.915,0.9012,0.6568,0.6762,0.6483,0.7155,0.736,0.7047,0.6342,0.6838,0.7508,0.74,0.7057,0.566,0.7417,0.6853,0.8033,0.6065,0.7697,0.641,0.7227,0.6938,0.9091,0.658042848110199,0.761938214302063,0.725,0.7046,0.5962,0.7049,0.7579,0.7749
37,0.8499,0.3297,0.8098,0.9163,0.9024,0.6555,0.6779,0.6456,0.7205,0.7359,0.6997,0.654,0.6795,0.742,0.7322,0.7048,0.5647,0.7386,0.6856,0.803,0.6054,0.7711,0.6411,0.7238,0.6925,0.9024,0.6538686752319336,0.7630833387374878,0.7401,0.7031,0.5995,0.7029,0.7576,0.7732
38,0.8512,0.327,0.8122,0.9149,0.9019,0.673,0.6481,0.6652,0.7161,0.7504,0.7047,0.6297,0.6835,0.7511,0.7402,0.7076,0.5613,0.7456,0.6857,0.8051,0.6217,0.7368,0.65,0.7341,0.7099,0.8877,0.647375226020813,0.7655910849571228,0.755,0.7116,0.5806,0.7113,0.7604,0.7815
39,0.8497,0.3271,0.8096,0.9162,0.9018,0.6597,0.6717,0.6485,0.7213,0.7385,0.7038,0.6437,0.6815,0.7528,0.739,0.709,0.5594,0.744,0.6893,0.8051,0.6156,0.7665,0.6484,0.7433,0.6997,0.9028,0.650027871131897,0.765670895576477,0.7702,0.7076,0.5937,0.7064,0.7646,0.7768
40,0.853,0.3188,0.8139,0.9164,0.9036,0.6659,0.6525,0.6643,0.689,0.7462,0.7062,0.6206,0.684,0.7556,0.7473,0.7116,0.5551,0.7489,0.6892,0.808,0.6186,0.7564,0.6491,0.7429,0.7029,0.9024,0.6472421288490295,0.7647432088851929,0.7854,0.7111,0.5807,0.712,0.7586,0.7816
41,0.8522,0.3161,0.8124,0.9174,0.9038,0.6878,0.6514,0.6804,0.7224,0.7506,0.7067,0.6191,0.684,0.7581,0.7515,0.7141,0.5534,0.7499,0.6926,0.808,0.6224,0.7328,0.6522,0.7368,0.7108,0.9051,0.6435434818267822,0.767478346824646,0.8007,0.7166,0.5746,0.7158,0.7655,0.7849
42,0.852,0.3154,0.8119,0.918,0.9036,0.6907,0.6295,0.6863,0.7178,0.7574,0.7095,0.6321,0.6877,0.7545,0.7433,0.7143,0.5515,0.7483,0.6939,0.8076,0.6184,0.7582,0.652,0.7467,0.7028,1.1332,0.6410343647003174,0.7677716612815857,0.8197,0.717,0.5773,0.7172,0.7662,0.7829
43,0.8522,0.3143,0.8117,0.9188,0.9038,0.6561,0.6593,0.6458,0.7015,0.7406,0.7001,0.6367,0.6787,0.7475,0.7359,0.718,0.5495,0.7515,0.6981,0.8085,0.6208,0.7321,0.6524,0.7364,0.7095,0.9137,0.643278956413269,0.7675681710243225,0.8351,0.7094,0.5784,0.708,0.7605,0.7797
44,0.8529,0.3117,0.8126,0.9191,0.9043,0.6853,0.6348,0.6909,0.6974,0.7562,0.7039,0.6284,0.6825,0.7497,0.7427,0.7201,0.5482,0.7536,0.7,0.8087,0.6183,0.755,0.6533,0.7458,0.7032,0.9081,0.6444028615951538,0.7661396861076355,0.8504,0.7161,0.5756,0.7186,0.7624,0.783
