epoch,Alessandro-cleaned-data_val_dice,Alessandro-cleaned-data_val_loss,Alessandro-cleaned-data_val_precision,Alessandro-cleaned-data_val_recall,Alessandro-cleaned-data_val_sparse_categorical_accuracy,Antoine-cleaned-data_val_dice,Antoine-cleaned-data_val_loss,Antoine-cleaned-data_val_precision,Antoine-cleaned-data_val_recall,Antoine-cleaned-data_val_sparse_categorical_accuracy,Kornum-cleaned-data_v2_val_dice,Kornum-cleaned-data_v2_val_loss,Kornum-cleaned-data_v2_val_precision,Kornum-cleaned-data_v2_val_recall,Kornum-cleaned-data_v2_val_sparse_categorical_accuracy,Maiken-cleaned-data_val_dice,Maiken-cleaned-data_val_loss,Maiken-cleaned-data_val_precision,Maiken-cleaned-data_val_recall,Maiken-cleaned-data_val_sparse_categorical_accuracy,Sebastian-cleaned-data_val_dice,Sebastian-cleaned-data_val_loss,Sebastian-cleaned-data_val_precision,Sebastian-cleaned-data_val_recall,Sebastian-cleaned-data_val_sparse_categorical_accuracy,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,0.4195,0.9629,0.5047,0.6209,0.4921,0.3027,1.0335,0.3404,0.4872,0.3764,0.3594,1.0091,0.421,0.4719,0.4708,0.5293,0.8697,0.5649,0.5782,0.6326,0.4436,0.9488,0.5059,0.6068,0.5246,1.9677,0.9769432544708252,0.5192499756813049,0.0328,0.4109,0.9648,0.4674,0.553,0.4993
1,0.4746,0.9208,0.5304,0.6424,0.5459,0.3399,0.9967,0.3791,0.4825,0.4262,0.3935,0.9425,0.468,0.4676,0.5383,0.5711,0.8284,0.5951,0.5961,0.6565,0.5044,0.9032,0.5413,0.6665,0.5739,0.9223,0.924364686012268,0.5718426704406738,0.0483,0.4567,0.9183,0.5028,0.571,0.5482
2,0.5137,0.8813,0.5492,0.6643,0.5912,0.3274,1.0185,0.3687,0.4811,0.4067,0.4857,0.8866,0.513,0.5554,0.596,0.6068,0.7899,0.6215,0.6217,0.6871,0.5392,0.8704,0.5615,0.6879,0.6082,0.8133,0.899042010307312,0.5880901217460632,0.0619,0.4946,0.8893,0.5228,0.6021,0.5778
3,0.5411,0.8417,0.5653,0.6844,0.6273,0.3531,0.968,0.3969,0.509,0.4448,0.4566,0.8501,0.5166,0.5115,0.6174,0.6359,0.7484,0.6448,0.6478,0.7197,0.518,0.8616,0.5317,0.6154,0.5994,0.6946,0.870380699634552,0.6072542667388916,0.0736,0.5009,0.854,0.5311,0.5936,0.6017
4,0.5621,0.8053,0.58,0.7044,0.656,0.4132,0.8954,0.4733,0.5718,0.5142,0.5319,0.787,0.5529,0.5963,0.6593,0.6549,0.7066,0.6587,0.6689,0.746,0.5812,0.8048,0.5895,0.6911,0.6631,0.6145,0.8410053253173828,0.6243396401405334,0.0839,0.5487,0.7998,0.5709,0.6465,0.6477
5,0.5786,0.7773,0.5907,0.7174,0.6766,0.4133,0.8925,0.4709,0.5586,0.5072,0.5468,0.7761,0.5608,0.5994,0.6596,0.6668,0.6677,0.6665,0.6819,0.7601,0.5549,0.7953,0.5703,0.6585,0.6418,0.5523,0.808820366859436,0.6392543911933899,0.0932,0.5521,0.7818,0.5718,0.6432,0.6491
6,0.5961,0.7532,0.6,0.723,0.6979,0.4418,0.8701,0.4983,0.5662,0.5312,0.5561,0.7327,0.5711,0.595,0.6838,0.6801,0.6264,0.6822,0.6885,0.7793,0.6035,0.7328,0.617,0.716,0.6922,0.4969,0.7824931740760803,0.6495208144187927,0.1016,0.5755,0.743,0.5937,0.6577,0.6769
7,0.6093,0.7332,0.6066,0.7262,0.7149,0.4792,0.8331,0.5188,0.5945,0.5683,0.529,0.7197,0.5392,0.5666,0.6832,0.6857,0.604,0.6842,0.6929,0.7885,0.6707,0.678,0.6643,0.776,0.7579,0.4915,0.7598885893821716,0.6612515449523926,0.1099,0.5948,0.7136,0.6026,0.6712,0.7026
8,0.624,0.7157,0.6149,0.7262,0.7334,0.5171,0.7397,0.5632,0.6114,0.622,0.5263,0.7178,0.5343,0.5597,0.6818,0.6905,0.5784,0.6916,0.6923,0.7994,0.6861,0.647,0.6747,0.7822,0.7744,0.4724,0.7445489168167114,0.6701213717460632,0.1179,0.6088,0.6797,0.6157,0.6744,0.7222
9,0.6339,0.7013,0.6211,0.7304,0.7454,0.5062,0.7739,0.5423,0.5997,0.6054,0.5836,0.664,0.5875,0.6128,0.7208,0.6948,0.5683,0.6936,0.6969,0.805,0.6578,0.641,0.661,0.7749,0.7456,0.4592,0.7345525622367859,0.6731019616127014,0.1256,0.6153,0.6697,0.6211,0.6829,0.7244
10,0.6485,0.686,0.6306,0.7313,0.7614,0.5259,0.7719,0.5691,0.6438,0.6105,0.6035,0.6497,0.6053,0.6213,0.7439,0.6961,0.5556,0.6976,0.6947,0.8095,0.6717,0.6222,0.6685,0.7822,0.7598,0.4332,0.7295158505439758,0.675330400466919,0.133,0.6291,0.6571,0.6342,0.6947,0.737
11,0.6528,0.6815,0.6342,0.7362,0.765,0.4679,0.9007,0.4943,0.5746,0.5508,0.5994,0.6288,0.6015,0.6193,0.7415,0.7005,0.5448,0.7021,0.699,0.8136,0.6293,0.6586,0.6205,0.6914,0.7291,0.4318,0.7157072424888611,0.6828874945640564,0.1403,0.61,0.6829,0.6105,0.6641,0.72
12,0.6618,0.672,0.641,0.7373,0.774,0.5384,0.7391,0.5644,0.6149,0.6446,0.5547,0.656,0.5529,0.5669,0.7203,0.7025,0.5372,0.7061,0.6993,0.8175,0.6781,0.6264,0.6602,0.7402,0.7683,0.4326,0.7169798016548157,0.6816107034683228,0.1476,0.6271,0.6461,0.6249,0.6717,0.7449
13,0.6686,0.6689,0.647,0.7401,0.7791,0.4978,0.8462,0.5487,0.6178,0.5695,0.5504,0.6716,0.5497,0.5613,0.7175,0.7053,0.5248,0.7121,0.6994,0.8211,0.6608,0.6399,0.6461,0.6926,0.7587,0.4221,0.7135732173919678,0.6822590827941895,0.1547,0.6166,0.6703,0.6207,0.6622,0.7292
14,0.674,0.6681,0.6522,0.7399,0.783,0.4487,0.9491,0.4963,0.5676,0.5197,0.5501,0.6572,0.5503,0.5614,0.7221,0.7053,0.5151,0.7154,0.6969,0.8224,0.6892,0.5817,0.6818,0.8005,0.7756,0.4134,0.7082868218421936,0.6859179735183716,0.1617,0.6135,0.6742,0.6192,0.6733,0.7246
15,0.6771,0.6558,0.6541,0.7435,0.7875,0.479,0.8556,0.5087,0.5671,0.5737,0.6141,0.6039,0.6116,0.6357,0.7545,0.7079,0.5184,0.7154,0.7021,0.8236,0.6888,0.5832,0.6816,0.8031,0.7739,0.4145,0.7066376805305481,0.688108503818512,0.1688,0.6334,0.6434,0.6343,0.6903,0.7426
16,0.6802,0.6524,0.6566,0.7478,0.7901,0.5129,0.7916,0.5698,0.6248,0.5978,0.6058,0.6136,0.6051,0.6241,0.7491,0.708,0.5163,0.7142,0.7033,0.8227,0.6885,0.5825,0.6817,0.8045,0.773,0.4183,0.7057377099990845,0.6885833144187927,0.1759,0.6391,0.6313,0.6455,0.7009,0.7465
17,0.6836,0.6491,0.6597,0.7503,0.7932,0.5201,0.7775,0.5675,0.6189,0.6099,0.5725,0.6206,0.5693,0.5803,0.7434,0.7095,0.513,0.7162,0.7045,0.8238,0.6942,0.5975,0.6744,0.7498,0.7839,0.4254,0.7036488056182861,0.6892197132110596,0.1832,0.636,0.6315,0.6374,0.6808,0.7508
18,0.6883,0.6487,0.6644,0.7511,0.7964,0.5386,0.7267,0.5831,0.652,0.6326,0.6125,0.6019,0.6142,0.6256,0.762,0.7095,0.5043,0.7191,0.7018,0.8256,0.6596,0.6222,0.6448,0.6924,0.7598,0.404,0.7010836601257324,0.6902531385421753,0.19,0.6417,0.6208,0.6451,0.6846,0.7553
19,0.6921,0.648,0.668,0.7533,0.7984,0.5456,0.7475,0.5813,0.6663,0.6349,0.6012,0.6044,0.6037,0.6174,0.754,0.7107,0.5004,0.722,0.7019,0.8274,0.665,0.5999,0.6555,0.753,0.7557,0.406,0.6963900327682495,0.6932835578918457,0.1969,0.6429,0.62,0.6461,0.6984,0.7541
20,0.6917,0.6439,0.6666,0.7582,0.7984,0.5218,0.7994,0.5779,0.643,0.599,0.5644,0.6387,0.5609,0.5729,0.7332,0.7134,0.505,0.7202,0.708,0.8261,0.6834,0.5993,0.665,0.7491,0.7723,0.4193,0.6988662481307983,0.6915777921676636,0.204,0.6349,0.6373,0.6381,0.6862,0.7458
21,0.6943,0.6413,0.6692,0.758,0.8006,0.5263,0.7608,0.5704,0.6117,0.6225,0.5611,0.6297,0.5581,0.5696,0.7319,0.7131,0.5019,0.7211,0.7069,0.8263,0.661,0.6204,0.6457,0.6932,0.7598,0.4071,0.6999203562736511,0.6914022564888,0.2109,0.6312,0.6308,0.6329,0.6679,0.7482
22,0.6956,0.6385,0.6704,0.7602,0.8021,0.5233,0.7807,0.5799,0.6197,0.611,0.6146,0.5803,0.6142,0.6308,0.7651,0.7136,0.5003,0.7213,0.7074,0.8268,0.6745,0.5945,0.6615,0.7572,0.765,0.419,0.6960974931716919,0.6935608983039856,0.218,0.6443,0.6189,0.6495,0.6951,0.754
23,0.6985,0.6366,0.6731,0.7602,0.8035,0.5223,0.7789,0.5759,0.6335,0.6086,0.6194,0.5962,0.6163,0.6405,0.7637,0.715,0.4983,0.7245,0.7078,0.8294,0.6975,0.5671,0.6883,0.8147,0.7803,0.4022,0.6945198178291321,0.6955718398094177,0.2249,0.6505,0.6154,0.6556,0.7113,0.7571
24,0.7007,0.6408,0.6758,0.761,0.8034,0.4796,0.8807,0.5189,0.619,0.5599,0.5588,0.6356,0.5607,0.5634,0.7379,0.7159,0.4909,0.7293,0.7054,0.8311,0.669,0.5945,0.6583,0.7563,0.7585,0.4095,0.6967231035232544,0.6936865448951721,0.2319,0.6248,0.6485,0.6286,0.681,0.7382
25,0.6998,0.6365,0.6738,0.7649,0.8034,0.4618,0.9347,0.5031,0.5874,0.5345,0.5614,0.6576,0.5591,0.5673,0.7309,0.7165,0.4965,0.7252,0.7098,0.829,0.6936,0.5885,0.6737,0.7523,0.782,0.413,0.694782555103302,0.6958252191543579,0.2389,0.6266,0.6628,0.627,0.6763,0.736
26,0.6996,0.6338,0.6733,0.7664,0.804,0.5019,0.8486,0.5748,0.6249,0.5716,0.5741,0.6394,0.5716,0.5788,0.7448,0.7169,0.4991,0.7243,0.7113,0.8306,0.6922,0.5889,0.6728,0.7529,0.7816,0.4112,0.6963391900062561,0.6932775974273682,0.2459,0.6369,0.642,0.6434,0.6869,0.7465
27,0.703,0.631,0.6769,0.7645,0.8065,0.5236,0.8005,0.5873,0.6643,0.5948,0.621,0.5994,0.6198,0.6335,0.7681,0.7174,0.4946,0.7281,0.7097,0.8339,0.7014,0.5649,0.6901,0.8178,0.7829,0.4049,0.6936418414115906,0.6949872970581055,0.2528,0.6533,0.6181,0.6604,0.718,0.7572
28,0.7043,0.6279,0.6782,0.7646,0.8076,0.4736,0.9116,0.5138,0.614,0.5424,0.6229,0.5852,0.6187,0.6434,0.7676,0.717,0.4947,0.7284,0.709,0.8333,0.6722,0.5931,0.6596,0.7593,0.7605,0.4213,0.6951956748962402,0.6949095129966736,0.2599,0.638,0.6425,0.6397,0.6981,0.7423
29,0.7069,0.6298,0.6812,0.7641,0.8082,0.5208,0.7979,0.5894,0.643,0.5992,0.6116,0.6049,0.6089,0.6297,0.7568,0.7182,0.4895,0.7328,0.708,0.8351,0.72,0.5545,0.6993,0.8116,0.8011,0.4018,0.6936554908752441,0.695362389087677,0.2668,0.6555,0.6153,0.6623,0.7113,0.7601
30,0.7025,0.6361,0.6758,0.7708,0.8039,0.4612,0.9257,0.5026,0.5681,0.5394,0.5675,0.6477,0.5649,0.5733,0.736,0.7205,0.4914,0.7291,0.7133,0.8309,0.6439,0.62,0.6321,0.7042,0.7414,0.4097,0.6933543086051941,0.693648636341095,0.2737,0.6191,0.6642,0.6209,0.6659,0.7303
31,0.7057,0.6333,0.6794,0.7681,0.8065,0.5191,0.7952,0.5785,0.6489,0.5974,0.6047,0.6046,0.6036,0.6247,0.7503,0.7199,0.4886,0.7332,0.7099,0.834,0.6798,0.5841,0.6659,0.7627,0.7696,0.4151,0.6928631067276001,0.6954581141471863,0.2808,0.6458,0.6212,0.6521,0.7029,0.7516
32,0.7043,0.6335,0.6776,0.7712,0.8055,0.5353,0.7637,0.5961,0.6823,0.6122,0.5729,0.6524,0.5672,0.5835,0.7401,0.7223,0.4896,0.7322,0.7144,0.8343,0.6586,0.6132,0.6435,0.6953,0.7581,0.399,0.6880837082862854,0.6987259984016418,0.2875,0.6387,0.6305,0.6433,0.6893,0.75
33,0.7038,0.6303,0.6767,0.7716,0.8054,0.528,0.7521,0.5791,0.6182,0.6247,0.6191,0.6043,0.6158,0.6399,0.7592,0.7223,0.4925,0.731,0.7157,0.8347,0.661,0.613,0.6454,0.6965,0.7592,0.4014,0.6885287165641785,0.6983329653739929,0.2944,0.6468,0.6184,0.6496,0.6884,0.7566
34,0.7109,0.6244,0.6846,0.7678,0.8108,0.54,0.7492,0.6008,0.6753,0.6209,0.6182,0.6001,0.6159,0.6317,0.767,0.7201,0.4878,0.7355,0.7098,0.8382,0.648,0.6093,0.6349,0.702,0.7475,0.4153,0.6904141902923584,0.6983309388160706,0.3014,0.6474,0.6142,0.6543,0.6973,0.7569
35,0.7065,0.6358,0.6798,0.7732,0.8054,0.541,0.7405,0.5883,0.6555,0.6321,0.5745,0.6211,0.571,0.5831,0.7477,0.7244,0.484,0.7366,0.7145,0.8356,0.6437,0.6141,0.6332,0.7048,0.7422,0.4094,0.6906988620758057,0.6967967748641968,0.3084,0.638,0.6191,0.6418,0.6862,0.7526
36,0.7099,0.6248,0.6832,0.7708,0.8097,0.5451,0.7378,0.5864,0.6624,0.6367,0.6173,0.5903,0.6174,0.6306,0.7679,0.7226,0.4864,0.7358,0.7129,0.8374,0.6483,0.6081,0.6358,0.7053,0.7476,0.4052,0.6884018778800964,0.6979519128799438,0.3153,0.6486,0.6095,0.6517,0.6964,0.7599
