epoch,Alessandro-cleaned-data_val_dice,Alessandro-cleaned-data_val_loss,Alessandro-cleaned-data_val_precision,Alessandro-cleaned-data_val_recall,Alessandro-cleaned-data_val_sparse_categorical_accuracy,Antoine-cleaned-data_val_dice,Antoine-cleaned-data_val_loss,Antoine-cleaned-data_val_precision,Antoine-cleaned-data_val_recall,Antoine-cleaned-data_val_sparse_categorical_accuracy,Kornum-cleaned-data_v2_val_dice,Kornum-cleaned-data_v2_val_loss,Kornum-cleaned-data_v2_val_precision,Kornum-cleaned-data_v2_val_recall,Kornum-cleaned-data_v2_val_sparse_categorical_accuracy,Maiken-cleaned-data_val_dice,Maiken-cleaned-data_val_loss,Maiken-cleaned-data_val_precision,Maiken-cleaned-data_val_recall,Maiken-cleaned-data_val_sparse_categorical_accuracy,Sebastian-cleaned-data_val_dice,Sebastian-cleaned-data_val_loss,Sebastian-cleaned-data_val_precision,Sebastian-cleaned-data_val_recall,Sebastian-cleaned-data_val_sparse_categorical_accuracy,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,0.1846,1.0512,0.4609,0.3334,0.3827,0.3661,1.0373,0.4147,0.39,0.5474,0.2206,1.048,0.5853,0.3467,0.4781,0.3996,0.997,0.6645,0.4132,0.6306,0.3076,1.0382,0.4758,0.3814,0.5189,1.2102,1.0754395723342896,0.3834967911243438,0.0202,0.2957,1.0343,0.5202,0.3729,0.5115
1,0.3946,0.9917,0.4944,0.4541,0.5912,0.4389,0.9791,0.5075,0.4578,0.6494,0.4753,1.0119,0.5136,0.514,0.6283,0.5373,0.9592,0.5645,0.5366,0.7333,0.4588,0.9774,0.5178,0.4888,0.6781,0.4144,1.0465631484985352,0.4612627029418945,0.0272,0.461,0.9839,0.5196,0.4903,0.6561
2,0.5668,0.9144,0.5648,0.5942,0.8339,0.4939,0.9205,0.5363,0.509,0.7215,0.5421,0.9647,0.5414,0.5723,0.7032,0.548,0.9159,0.6659,0.5643,0.7678,0.5247,0.9034,0.5324,0.5453,0.7634,0.8941,1.0109820365905762,0.5565229058265686,0.0421,0.5351,0.9238,0.5682,0.557,0.758
3,0.5939,0.8376,0.5826,0.6167,0.8757,0.5262,0.8713,0.5778,0.5399,0.7639,0.5585,0.9219,0.5494,0.5868,0.7231,0.534,0.8796,0.5625,0.5637,0.7731,0.5451,0.8366,0.5378,0.5641,0.7926,0.6842,0.9743619561195374,0.5826895833015442,0.0536,0.5515,0.8694,0.562,0.5742,0.7857
4,0.6012,0.7666,0.5877,0.622,0.8872,0.5394,0.8306,0.5914,0.5515,0.7779,0.5635,0.8843,0.5516,0.5909,0.7279,0.5222,0.85,0.5244,0.559,0.7646,0.5517,0.7808,0.5396,0.5703,0.8027,0.5691,0.9381442666053772,0.5869688987731934,0.0632,0.5556,0.8225,0.5589,0.5787,0.7921
5,0.604,0.7076,0.5897,0.6234,0.8917,0.5449,0.7976,0.5757,0.5557,0.7822,0.5664,0.8545,0.5528,0.5932,0.7308,0.5147,0.8289,0.5248,0.555,0.7556,0.5545,0.7386,0.5408,0.5728,0.8069,0.4964,0.906832993030548,0.5884252786636353,0.0716,0.5569,0.7854,0.5568,0.58,0.7934
6,0.6052,0.6575,0.5907,0.6239,0.8938,0.5465,0.7718,0.5755,0.5556,0.7797,0.5682,0.8279,0.5535,0.5946,0.7332,0.5105,0.8117,0.5273,0.5522,0.7488,0.5555,0.7053,0.5413,0.5738,0.8084,0.4541,0.8831449747085571,0.5880841612815857,0.0793,0.5572,0.7548,0.5577,0.58,0.7928
7,0.6056,0.6248,0.591,0.6241,0.8944,0.5486,0.7562,0.5683,0.5553,0.7758,0.5692,0.8111,0.7765,0.5955,0.7353,0.512,0.8009,0.5354,0.5519,0.7456,0.5569,0.685,0.876,0.5752,0.8101,0.4365,0.8650062680244446,0.5882916450500488,0.0868,0.5585,0.7356,0.6694,0.5804,0.7922
8,0.6057,0.5964,0.5911,0.6237,0.8949,0.5532,0.7446,0.5691,0.557,0.7724,0.5715,0.7966,0.6663,0.5972,0.7381,0.5097,0.7959,0.5238,0.5495,0.7399,0.558,0.6703,0.6764,0.576,0.8113,0.4247,0.8486425876617432,0.5890576839447021,0.094,0.5596,0.7208,0.6053,0.5807,0.7913
9,0.6059,0.5767,0.9245,0.6239,0.895,0.5522,0.7356,0.5625,0.555,0.7665,0.5723,0.7853,0.6714,0.5978,0.74,0.5131,0.7885,0.5241,0.5504,0.7383,0.5585,0.6581,0.5444,0.5769,0.8128,0.4165,0.839566707611084,0.5896422266960144,0.1012,0.5604,0.7088,0.6454,0.5808,0.7905
