epoch,Alessandro-cleaned-data_val_dice,Alessandro-cleaned-data_val_loss,Alessandro-cleaned-data_val_precision,Alessandro-cleaned-data_val_recall,Alessandro-cleaned-data_val_sparse_categorical_accuracy,Antoine-cleaned-data_val_dice,Antoine-cleaned-data_val_loss,Antoine-cleaned-data_val_precision,Antoine-cleaned-data_val_recall,Antoine-cleaned-data_val_sparse_categorical_accuracy,Kornum-cleaned-data_v2_val_dice,Kornum-cleaned-data_v2_val_loss,Kornum-cleaned-data_v2_val_precision,Kornum-cleaned-data_v2_val_recall,Kornum-cleaned-data_v2_val_sparse_categorical_accuracy,Maiken-cleaned-data_val_dice,Maiken-cleaned-data_val_loss,Maiken-cleaned-data_val_precision,Maiken-cleaned-data_val_recall,Maiken-cleaned-data_val_sparse_categorical_accuracy,Sebastian-cleaned-data_val_dice,Sebastian-cleaned-data_val_loss,Sebastian-cleaned-data_val_precision,Sebastian-cleaned-data_val_recall,Sebastian-cleaned-data_val_sparse_categorical_accuracy,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,0.3657,1.0479,0.4172,0.5284,0.4125,0.3817,0.9873,0.3766,0.4612,0.421,0.2618,1.1157,0.3758,0.3766,0.2438,0.2826,1.0576,0.3358,0.4227,0.3113,0.269,1.0686,0.3089,0.4447,0.2824,1.6131,1.0770812034606934,0.3490088880062103,0.0269,0.3122,1.0554,0.3629,0.4467,0.3342
1,0.4289,0.9898,0.4579,0.5867,0.4845,0.3865,0.9459,0.4177,0.4605,0.4632,0.3837,1.0557,0.4225,0.4944,0.4067,0.4014,1.0026,0.3971,0.4749,0.4634,0.3992,1.0086,0.4169,0.5324,0.4456,1.0679,1.030892014503479,0.4651010930538177,0.0449,0.3999,1.0005,0.4224,0.5098,0.4527
2,0.3963,0.9638,0.4877,0.5928,0.4488,0.378,0.9209,0.4652,0.4821,0.4779,0.3827,1.0316,0.4673,0.5327,0.4506,0.4168,0.9728,0.435,0.4957,0.5141,0.387,0.9841,0.4622,0.5521,0.4618,2.234,1.010935664176941,0.5039481520652771,0.0823,0.3922,0.9746,0.4635,0.5311,0.4706
3,0.4077,0.9372,0.5142,0.6082,0.4503,0.3575,0.9129,0.466,0.4887,0.4642,0.3801,1.0174,0.48,0.5165,0.449,0.4385,0.9428,0.4707,0.5147,0.5414,0.4059,0.9626,0.5011,0.5813,0.4827,1.6564,0.9878785610198976,0.516853928565979,0.11,0.3979,0.9546,0.4864,0.5419,0.4775
4,0.4319,0.9108,0.5377,0.6237,0.4622,0.3756,0.8988,0.5,0.5116,0.4761,0.4135,0.9884,0.5089,0.5444,0.4809,0.4745,0.9112,0.5108,0.5393,0.5687,0.4352,0.9312,0.5346,0.5968,0.5086,1.6761,0.9668819308280944,0.5315372943878174,0.1381,0.4261,0.9281,0.5184,0.5632,0.4993
5,0.4587,0.8864,0.5599,0.6389,0.4766,0.3629,0.8943,0.4915,0.5014,0.4703,0.4499,0.9611,0.5311,0.5749,0.5133,0.5178,0.8815,0.5505,0.5678,0.5954,0.4605,0.8988,0.5626,0.5982,0.5216,1.3289,0.9446253776550292,0.5478964447975159,0.1604,0.45,0.9044,0.5391,0.5762,0.5154
6,0.4771,0.8674,0.5747,0.6537,0.4907,0.3777,0.8904,0.5118,0.5187,0.4807,0.476,0.9507,0.5465,0.5947,0.5172,0.5619,0.8542,0.5895,0.602,0.6213,0.5085,0.8892,0.5851,0.6517,0.5639,1.3481,0.9194750189781188,0.5738197565078735,0.183,0.4802,0.8904,0.5615,0.6042,0.5348
7,0.5097,0.844,0.5966,0.6695,0.5152,0.4202,0.875,0.5331,0.5542,0.5137,0.5102,0.9206,0.5727,0.6106,0.5462,0.616,0.8222,0.6326,0.6402,0.6594,0.555,0.853,0.6136,0.6728,0.6034,1.2062,0.902121603488922,0.5916392803192139,0.2033,0.5222,0.863,0.5897,0.6295,0.5676
8,0.5464,0.8163,0.6212,0.685,0.5435,0.4617,0.8626,0.5458,0.5938,0.5366,0.5477,0.8915,0.598,0.6307,0.5708,0.6592,0.7872,0.6702,0.6687,0.6927,0.6016,0.8231,0.6388,0.6976,0.6439,1.1943,0.8798123598098755,0.6189152002334595,0.2233,0.5633,0.8361,0.6148,0.6552,0.5975
9,0.591,0.7931,0.6318,0.7192,0.5958,0.4944,0.8562,0.5505,0.605,0.5702,0.6197,0.8546,0.6417,0.6983,0.6083,0.6849,0.7631,0.6797,0.6989,0.7116,0.6386,0.7908,0.6538,0.7199,0.6831,1.121,0.8568627834320068,0.640910267829895,0.2422,0.6057,0.8116,0.6315,0.6883,0.6338
